"pid","location","lat","lon"
393,"128 HUNTINGTON RD",41.256543,-72.893833
394,"136 HUNTINGTON RD",41.2562698,-72.8939711
395,"144 HUNTINGTON RD",41.256408,-72.894193
396,"150 HUNTINGTON RD",41.256313,-72.894353
397,"160 HUNTINGTON RD",41.256248,-72.894466
398,"HOPKINS DR",41.256186,-72.894602
399,"3 HOPKINS DR",41.256123,-72.894749
400,"5 HOPKINS DR",41.256026,-72.894873
401,"15 HOPKINS DR",41.2559063,-72.8951612
402,"19 HOPKINS DR",40.6004643,-73.752093
403,"25 HOPKINS DR",40.6004643,-73.752093
404,"39 HOPKINS DR",41.25592,-72.895554
405,"873 TOWNSEND AV",41.255798,-72.8957215
406,"131 UPSON TER",41.2556788,-72.8958854
407,"20 LEROY TER",41.2555051,-72.8958896
408,"16 LEROY TER",41.2554641,-72.8960658
409,"60 SOUND VIEW TER",41.2553271,-72.8965905
410,"44 SOUND VIEW TER",41.2553271,-72.8965905
411,"30 SOUND VIEW TER",41.2554015,-72.8963345
412,"835 TOWNSEND AV",41.2559449,-72.892757
413,"845 TOWNSEND AV",41.255814,-72.892811
414,"853 TOWNSEND AV",41.255699,-72.892889
415,"LEROY TER",41.2555715,-72.8930094
416,"155 UPSON TER",41.25561,-72.893189
417,"165 UPSON TER",41.255499,-72.8932987
418,"175 UPSON TER",41.255482,-72.8938359
419,"185 UPSON TER",41.2553658,-72.8940023
420,"195 UPSON TER",41.2553367,-72.8941964
421,"205 UPSON TER",41.2553134,-72.8943433
422,"215 UPSON TER",41.2552764,-72.8944937
423,"140 SOUND VIEW TER",41.255247,-72.8946982
424,"70 HORSLEY AV",41.2551698,-72.8949301
425,"136 SOUND VIEW TER",41.2555369,-72.894651
426,"126 SOUND VIEW TER",41.2556719,-72.8944719
427,"114 SOUND VIEW TER",41.2558584,-72.8941953
428,"104 SOUND VIEW TER",41.2558955,-72.8940012
429,"92 SOUND VIEW TER",41.2557199,-72.89364
430,"80 SOUND VIEW TER",41.2560523,-72.8934475
431,"15 LEROY TER",41.25595,-72.893091
432,"773 TOWNSEND AV",41.255961,-72.892942
433,"105 TUTTLE DR",41.251269,-72.894222
434,"115 TUTTLE DR",41.2530157,-72.892575
435,"123 TUTTLE DR",41.251688,-72.894063
436,"129 TUTTLE DR",41.251824,-72.894008
437,"139 TUTTLE DR",41.252127,-72.893801
438,"147 TUTTLE DR",41.2524159,-72.893547
439,"155 TUTTLE DR",41.2530157,-72.892575
440,"167 TUTTLE DR",41.2526918,-72.8934947
441,"171 TUTTLE DR",41.2530157,-72.892575
442,"110 TOWNSEND TER",41.2530157,-72.892575
443,"102 TOWNSEND TER",41.25091,-72.89363
444,"96 TOWNSEND TER",41.2530157,-72.892575
445,"88 TOWNSEND TER",41.251201,-72.89353
446,"84 TOWNSEND TER",41.251313,-72.893405
447,"80 TOWNSEND TER",40.6004643,-73.752093
448,"72 TOWNSEND TER",41.251496,-72.893087
449,"66 TOWNSEND TER",41.2530157,-72.892575
450,"60 TOWNSEND TER",41.251754,-72.892964
451,"52 TOWNSEND TER",43.5264207,-75.9151313
452,"46 TOWNSEND TER",41.252716,-72.89257
453,"38 TOWNSEND TER",41.252725,-72.892236
454,"30 TOWNSEND TER",41.994138,-73.6287119
455,"22 TOWNSEND TER",41.2515173,-72.8924643
456,"663 TOWNSEND AV",44.8327968,-71.0753417
457,"701 TOWNSEND AV",41.250456,-72.89298
458,"TOWNSEND AV",41.250664,-72.892957
459,"709 TOWNSEND AV",41.250861,-72.892951
460,"725 TOWNSEND AV",41.250985,-72.893126
461,"745 TOWNSEND AV",41.2515173,-72.8924643
462,"757 TOWNSEND AV",35.64244,-78.249528
463,"765 TOWNSEND AV",34.965829,-92.413468
464,"601 TOWNSEND AV",41.252358,-72.891884
465,"23 HALL ST",41.2522016,-72.8916367
466,"27 HALL ST",41.2520284,-72.8914439
467,"33 HALL ST",40.6004643,-73.752093
468,"41 HALL ST",41.2506437,-72.8976192
469,"47 HALL ST",41.2518413,-72.8913066
470,"55 HALL ST",41.251448,-72.891093
471,"61 HALL ST",43.5272749,-75.9152073
472,"65 HALL ST",44.8327968,-71.0753417
473,"71 HALL ST",41.251719,-72.892203
474,"77 HALL ST",40.6004643,-73.752093
475,"83 HALL ST",34.969289,-92.413436
476,"89 HALL ST",41.252854,-72.891418
477,"95 HALL ST",41.252766,-72.891679
478,"103 HALL ST",41.252955,-72.891215
479,"105 HALL ST",41.2416934,-72.9764978
480,"424 FORT HALE RD",41.2414081,-72.9762844
481,"408 FORT HALE RD",41.2414175,-72.9758623
482,"400 FORT HALE RD",41.2411734,-72.9753403
483,"386 FORT HALE RD",41.252035,-72.89088
484,"368 FORT HALE RD",41.2407274,-72.9745575
485,"FORT HALE RD",41.5658857,-72.8741861
486,"350 FORT HALE RD",41.2405085,-72.9741768
487,"340 FORT HALE RD",41.2402011,-72.9736412
488,"330 FORT HALE RD",41.2401098,-72.9734821
489,"320 FORT HALE RD",41.5658857,-72.8741861
490,"306 FORT HALE RD",41.2529599,-72.8920904
491,"294 FORT HALE RD",41.2529599,-72.8920904
492,"280 FORT HALE RD",41.2529599,-72.8920904
493,"270 FORT HALE RD",41.2529599,-72.8920904
494,"260 FORT HALE RD",41.252232,-72.891069
495,"581 TOWNSEND AV",41.252435,-72.891215
496,"591 TOWNSEND AV",41.252603,-72.89133
497,"106 HALL ST",41.253965,-72.9003649
498,"100 HALL ST",41.2536686,-72.9000988
499,"94 HALL ST",41.253518,-72.900064
500,"88 HALL ST",41.253395,-72.899981
501,"82 HALL ST",41.2533029,-72.8998143
502,"76 HALL ST",41.2531796,-72.8997676
503,"72 HALL ST",41.253451,-72.8983155
504,"66 HALL ST",41.2535892,-72.8981326
505,"60 HALL ST",41.2536797,-72.8979495
506,"54 HALL ST",41.2537735,-72.8977972
507,"46 HALL ST",41.2538536,-72.8977083
508,"40 HALL ST",41.2539011,-72.8975503
509,"34 HALL ST",41.2540121,-72.8973503
510,"28 HALL ST",41.254118,-72.897181
511,"22 HALL ST",41.2543026,-72.8969938
512,"HALL ST",41.2543719,-72.896786
513,"8 HALL ST",41.2544172,-72.8965968
514,"621 TOWNSEND AV",41.2541386,-72.8966796
515,"635 TOWNSEND AV",41.2540094,-72.896693
516,"641 TOWNSEND AV",41.253831,-72.897023
517,"49 TOWNSEND TER",41.2536699,-72.8972367
518,"645 TOWNSEND AV",41.2535095,-72.8974963
519,"655 TOWNSEND AV",41.25339,-72.897708
520,"25 TOWNSEND TER",41.253269,-72.897887
521,"33 TOWNSEND TER",41.253154,-72.89806
522,"37 TOWNSEND TER",41.253164,-72.898674
523,"43 TOWNSEND TER",41.253266,-72.8963657
524,"TOWNSEND TER",41.2533337,-72.8960235
525,"51 TOWNSEND TER",41.2533645,-72.8957753
526,"59 TOWNSEND TER",41.253384,-72.8954941
527,"65 TOWNSEND TER",41.253349,-72.895262
528,"71 TOWNSEND TER",41.253071,-72.89532
